GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0500000US29163,29163,"Pike County, Missouri",18516,18516,18484,18637,18530,18577,18475,18354,18438
0500000US29165,29165,"Platte County, Missouri",89322,89318,89710,90802,92153,93333,94837,96217,98309
0500000US29167,29167,"Polk County, Missouri",31137,31137,31164,31196,31078,30994,31025,31183,31285
0500000US29169,29169,"Pulaski County, Missouri",52274,52274,52844,53273,53412,53783,53505,53156,52654
0500000US29171,29171,"Putnam County, Missouri",4979,4979,4970,4964,4941,4884,4844,4863,4853
0500000US29173,29173,"Ralls County, Missouri",10167,10167,10194,10303,10265,10180,10278,10177,10224
0500000US29175,29175,"Randolph County, Missouri",25414,25414,25440,25258,25313,24941,25071,25090,24989
0500000US29177,29177,"Ray County, Missouri",23494,23494,23471,23319,23063,23029,22943,22815,22754
0500000US29179,29179,"Reynolds County, Missouri",6696,6694,6679,6682,6663,6583,6530,6418,6455
0500000US29181,29181,"Ripley County, Missouri",14100,14100,14101,14147,14043,14028,13979,13811,13817
0500000US29183,29183,"St. Charles County, Missouri",360485,360495,361840,365262,369102,374196,379894,385171,390918
0500000US29185,29185,"St. Clair County, Missouri",9805,9805,9817,9707,9522,9508,9467,9450,9272
0500000US29186,29186,"Ste. Genevieve County, Missouri",18145,18139,18117,18229,17859,17941,17960,17895,18030
0500000US29187,29187,"St. Francois County, Missouri",65359,65371,65539,65575,65856,66229,65993,66446,66627
0500000US29189,29189,"St. Louis County, Missouri",998954,998868,998833,998999,1000530,1000778,1001207,1001705,998581
0500000US29195,29195,"Saline County, Missouri",23370,23370,23404,23327,23473,23227,23279,23109,22980
0500000US29197,29197,"Schuyler County, Missouri",4431,4431,4443,4391,4390,4365,4398,4434,4394
0500000US29199,29199,"Scotland County, Missouri",4843,4853,4843,4848,4889,4919,4865,4859,4932
0500000US29201,29201,"Scott County, Missouri",39191,39187,39246,39127,39138,39205,38878,39004,38745
0500000US29203,29203,"Shannon County, Missouri",8441,8441,8446,8420,8324,8271,8286,8233,8168
0500000US29205,29205,"Shelby County, Missouri",6373,6373,6375,6246,6238,6163,6126,6132,6082
0500000US29207,29207,"Stoddard County, Missouri",29968,29968,30021,29850,29843,29855,29867,29786,29588
0500000US29209,29209,"Stone County, Missouri",32202,32208,32059,31862,31619,31334,31084,30902,31047
0500000US29211,29211,"Sullivan County, Missouri",6714,6714,6720,6674,6559,6484,6453,6323,6262
0500000US29213,29213,"Taney County, Missouri",51675,51674,51931,52636,52939,53295,53961,54333,54735
0500000US29215,29215,"Texas County, Missouri",26008,26008,26029,25937,25757,25639,25628,25651,25775
0500000US29217,29217,"Vernon County, Missouri",21159,21159,21125,20989,20783,20908,20963,20803,20723
